Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ActualDisplayName
"16092","13062","0","@Konorai use the spoiler markdown `>! spoiler here` for spoiler content.","2014-07-26 22:26:17","","63","кяαzєя"
"402","165","0","The original manga and Sigma follow the main plot of the light novels, while Comic Mission touches upon some of the side stories and adds in some original content. Another is another story all together and Overload/Surplus has nothing to do with the light novels.","2012-12-13 03:48:47","","63","кяαzєя"
"1909","2678","7","Everything from the characters to plot in the Railgun series is canon to the main Index series, as the story was made by the author of the novels. This includes the Saten cameos appearance in the novels and ""[Capacity Down](http://toarumajutsunoindex.wikia.com/wiki/Capacity_Down)"" used on Accelerator in Volume 19 of the novels. This also works the other way with Railgun series. Everything that happens in the Railgun happen in the Railgun, hence why Eri and Harumi-sensei's students being cured are canon.","2013-02-27 14:48:02","","63","кяαzєя"
"1909","2678","7","Everything from the characters to plot in the Railgun series is canon to the main Index series, as the story was made by the author of the novels. This includes the Saten cameos appearance in the novels and ""[Capacity Down](http://toarumajutsunoindex.wikia.com/wiki/Capacity_Down)"" used on Accelerator in Volume 19 of the novels. This also works the other way with Railgun series. Everything that happens in the Railgun happen in the Railgun, hence why Eri and Harumi-sensei's students being cured are canon.","2013-02-27 14:48:02","","63","кяαzєя"
"2341","2678","2","@ChristianAurigFrøkjær In *Fate/complete material IV*, Nasu mentions that *Fate/Apocrypha* is extra-canon. *Kara no Kyoukai* and *Tsukihime* are explicitly mentioned by the Nasu to be parallel worlds. In *Fate/complete material III*, it's confirmed that *Tsukihime* shares the same universe as *Fate*, stating that the end of *Tsukihime* happens at the beginning of *Fate/stay night.* While they are separate, all series in the Nasu-verse are considered canon to one another, one could presumptively travel to each, if they could use [Second Magic](http://typemoon.wikia.com/wiki/Second_Magic)...","2013-03-27 01:52:18","","63","кяαzєя"
"2341","2678","2","@ChristianAurigFrøkjær In *Fate/complete material IV*, Nasu mentions that *Fate/Apocrypha* is extra-canon. *Kara no Kyoukai* and *Tsukihime* are explicitly mentioned by the Nasu to be parallel worlds. In *Fate/complete material III*, it's confirmed that *Tsukihime* shares the same universe as *Fate*, stating that the end of *Tsukihime* happens at the beginning of *Fate/stay night.* While they are separate, all series in the Nasu-verse are considered canon to one another, one could presumptively travel to each, if they could use [Second Magic](http://typemoon.wikia.com/wiki/Second_Magic)...","2013-03-27 01:52:18","","63","кяαzєя"
"317","195","2","@Mochan you should mean り that る.","2012-12-12 17:35:41","","63","кяαzєя"
"322","213","0","-1 Could be easily found by looking up on the internet.","2012-12-12 17:44:29","","99","Masked Man"
"322","213","0","-1 Could be easily found by looking up on the internet.","2012-12-12 17:44:29","","99","Masked Man"
"24144","18861","0","The first two are from Epi. 3","2015-01-26 09:44:22","","63","кяαzєя"
