Id,PostHistoryTypeId,PostId,RevisionGUID,CreationDate,UserId,UserDisplayName,Comment,Text
"31739","1","9887","961efbdc-acfc-4ef9-9b9d-83ca93280f1d","2014-05-23 05:04:40","4978","","","A Song from attack on titan"
"31738","2","9887","961efbdc-acfc-4ef9-9b9d-83ca93280f1d","2014-05-23 05:04:40","4978","","","I want a song in attack on titan that is kyojin of Eren take the big rock to the hole of wall (I don't know exactly what episode it is but at the beginning of that episode, that song is appeared.) Please, give me the name of song and where can I get that song."
"31740","3","9887","961efbdc-acfc-4ef9-9b9d-83ca93280f1d","2014-05-23 05:04:40","4978","","","<attack-on-titan>"
"31746","4","9887","1e42107f-af7d-4c4a-bf90-6bae41229add","2014-05-23 06:18:52","63","","title and tags.","What is this track from Attack on Titan?"
"31767","5","9887","86f86d46-93ca-4348-b46a-38a82114875f","2014-05-23 20:25:20","1908","","grammar/etc","I am looking for the name of a song in Attack on Titans that occurs during the scene when Eren takes a big rock to the hole in the wall. I don't know exactly what episode it is but at the beginning of that episode, the song is played.

Does anyone know the name of the song played during this scene and where I can legally buy or listen to this song?"
"31744","5","9887","478a99fd-3c84-49dc-a462-8cb0afd09aa3","2014-05-23 05:19:27","3650","","clarified question","I am looking for the name of a song in Attack on Titans that occurs during the scene of when Eren takes a big rock to the hole of the wall. I don't know exactly what episode it is but at the beginning of that episode, the song that is played.

Does anyone know the name of the song played during this scene and where I can legally buy or listen to this song?"
"31747","6","9887","1e42107f-af7d-4c4a-bf90-6bae41229add","2014-05-23 06:18:52","63","","title and tags.","<identification-request><music><attack-on-titan>"
"92178","6","9887","88f8a65b-7031-410b-ac8f-4a36e686dc0b","2015-12-16 06:12:43","63","","edited tags","<music><attack-on-titan>"
"28187","1","8824","5b9cacf3-6e24-44e8-943e-a4555cd6157b","2014-04-22 01:23:59","3650","","","Which Manga closely follows after Attack on Titans: EP 25?"
"28186","2","8824","5b9cacf3-6e24-44e8-943e-a4555cd6157b","2014-04-22 01:23:59","3650","","","I have been searching for this for a while now after I finished watching the series a week ago, however I cant find a rough answer on Google and sites such as answers.yahoo.com about which Manga leaves of roughly around the end of Episode 25 of Attack on Titans.

Which Manga/Volume/Chapter will mostly be a continuum of where Episode 25 left off and how accurate will it be? Does anyone know?

Answers are appreciated. :)"
"28188","3","8824","5b9cacf3-6e24-44e8-943e-a4555cd6157b","2014-04-22 01:23:59","3650","","","<attack-on-titan>"
"28200","4","8824","c7897ef3-cb49-4298-8a18-b04935dd46cf","2014-04-22 06:01:13","1908","","cleanup","Which chapter of the manga closely follows after Attack on Titan EP 25?"
"28199","5","8824","c7897ef3-cb49-4298-8a18-b04935dd46cf","2014-04-22 06:01:13","1908","","cleanup","I have been searching for this for a while now after I finished watching the series a week ago, but I can't find a rough answer on Google and sites such as answers.yahoo.com about which chapter of the manga picks up roughly around the end of episode 25 of Attack on Titan.

Which manga chapter will be a continuation from where episode 25 left off, and how accurate will it be? Does anyone know?"
"28195","5","8824","25a4803f-86ea-41ea-aabf-49908a472e1e","2014-04-22 05:10:55","3650","","deleted 7 characters in body","I have been searching for this for a while now after I finished watching the series a week ago, however I cant find a rough answer on Google and sites such as answers.yahoo.com about which Manga leaves of roughly around the end of Episode 25 of Attack on Titans.

Which Manga Chapter will mostly be a continuum of where Episode 25 left off and how accurate will it be? Does anyone know?

Answers are appreciated. :)"
"28222","25","8824","563d1fb3-c9ff-40d4-9300-ebe20fda8767","2014-04-22 12:27:48","","","http://twitter.com/#!/StackAnime/status/458582946451320832",""
"26937","1","8469","f5fc2ef6-a862-40a3-9461-3e05bd70df9c","2014-04-04 09:47:26","191","","","What happens in the end of Tokyo Ravens?"
"26936","2","8469","f5fc2ef6-a862-40a3-9461-3e05bd70df9c","2014-04-04 09:47:26","191","","","Harutora's attempt to resurrect Natsume supposedly succeeded, but Saotome Suzu who helped perform the rutial, tells the other characters over the phone that it *technically* was a success.

In the end we see how Natsume is resting in a bed inside a brightly sunlit room with a window open. Harutora says they'll see each other. It's not clear if he was real or not, and if the whole room is some metaphor of sorts, considering the ""astrology"" stuff in the previous episode.

What's really going on in the end?"
"26938","3","8469","f5fc2ef6-a862-40a3-9461-3e05bd70df9c","2014-04-04 09:47:26","191","","","<tokyo-ravens>"
"109923","4","8469","965daf58-1904-48a0-9b3e-fe03113a02a8","2016-05-21 19:51:33","1908","","clarification","What happens in the end of the Tokyo Ravens anime?"
"26939","5","8469","304160c1-4085-4e2b-82c2-a7320aa28ca4","2014-04-04 09:53:14","191","","added 28 characters in body","Harutora's attempt to resurrect Natsume supposedly succeeded, but Saotome Suzu who helped perform the rutial, tells the other characters over the phone that it *technically* was a success.

In the end we see how Natsume is resting in a bed inside a brightly sunlit room with a window open. Harutora says he'll be looking forward to see her and disappears. It's not clear if he was real or not, and if the whole room is some metaphor of sorts, considering the ""astrology"" stuff in the previous episode.

What's really going on in the end?"
"42111","5","8469","da1d070c-d08e-4cdd-be79-360c63123487","2014-09-07 17:30:12","1398","","added 17 characters in body","Harutora's attempt to resurrect Natsume supposedly succeeded, but Saotome Suzu who had helped to perform the ritual, told the other characters over the phone that it *technically* was a success.

In the end, we see how Natsume is resting in a bed inside a brightly sunlit room with a window open. Harutora says he'll be looking forward to see her and disappears. It's not clear whether he was real or not, and whether the whole room is some metaphor of sorts, considering the ""astrology"" stuff in the previous episode.

What's really going on in the end?"
"109922","5","8469","965daf58-1904-48a0-9b3e-fe03113a02a8","2016-05-21 19:51:33","1908","","clarification","Harutora's attempt to resurrect Natsume supposedly succeeded, but Saotome Suzu, who had helped to perform the ritual, told the other characters over the phone that it *technically* was a success.

In the end, we see how Natsume is resting in a bed inside a brightly sunlit room with a window open. Harutora says he'll be looking forward to see her and disappears. It's not clear whether he was real or not, and whether the whole room is some metaphor of sorts, considering the ""astrology"" stuff in the previous episode.

What's really going on in the end of the anime?"
"122030","19","8469","c3c51186-0c1a-4ab5-9578-2162220cee6d","2016-08-28 16:08:03","191","","","{""Voters"":[{""Id"":191,""DisplayName"":""Hakase""}]}"
"26944","25","8469","60f4f825-f316-4f9b-b4ce-c0eafff2480f","2014-04-04 11:06:44","","","http://twitter.com/#!/StackAnime/status/452039559799668736",""
"25546","1","8055","1addd419-9e5e-48a4-9cd8-fb95d0b2e262","2014-03-14 13:07:12","2413","","","Which episodes of Fairy Tail are filler?"
"25545","2","8055","1addd419-9e5e-48a4-9cd8-fb95d0b2e262","2014-03-14 13:07:12","2413","","","Up to Episode 175, I know Fairy Tail has some episodes which are not in the manga.  
If I want to watch the series again but not the episodes that are fillers, which ones should I skip ?

*This question is inspired by [Which episodes of Bleach are fillers](http://anime.stackexchange.com/q/3018/2413), I just decided to do the same for Fairy Tail*"
"25547","3","8055","1addd419-9e5e-48a4-9cd8-fb95d0b2e262","2014-03-14 13:07:12","2413","","","<fairy-tail>"
"47784","4","8055","46f3f7c4-d9d0-4179-aac7-5c609f4b8794","2014-12-03 08:48:18","2413","","added 8 characters in body; edited title","Which episodes of Fairy Tail are anime-exclusive?"
"136800","5","8055","1e2816e8-d593-45a6-a8a0-01ca1b14b192","2017-04-13 12:54:48","-1","","replaced http://anime.stackexchange.com/ with https://anime.stackexchange.com/","Up to episode 175, I know Fairy Tail has some episodes which are not in the manga.

If I want to watch the series again but not the episodes that are anime-exclusive, which ones should I skip?

*This question is inspired by [Which episodes of Bleach are fillers](https://anime.stackexchange.com/q/3018/2413), I just decided to do the same for Fairy Tail*"
"61029","5","8055","5f8cb95d-b162-4e8c-9260-314821b3eee0","2015-03-15 14:15:04","1398","","deleted 1 character in body","Up to episode 175, I know Fairy Tail has some episodes which are not in the manga.

If I want to watch the series again but not the episodes that are anime-exclusive, which ones should I skip?

*This question is inspired by [Which episodes of Bleach are fillers](http://anime.stackexchange.com/q/3018/2413), I just decided to do the same for Fairy Tail*"
"47783","5","8055","46f3f7c4-d9d0-4179-aac7-5c609f4b8794","2014-12-03 08:48:18","2413","","added 8 characters in body; edited title","Up to Episode 175, I know Fairy Tail has some episodes which are not in the manga.  
If I want to watch the series again but not the episodes that are anime exclusive, which ones should I skip ?

*This question is inspired by [Which episodes of Bleach are fillers](http://anime.stackexchange.com/q/3018/2413), I just decided to do the same for Fairy Tail*"
"94721","19","8055","3aa0d15b-c7a6-4e85-908d-ca4125f4f9b8","2016-01-04 13:16:08","18431","","","{""Voters"":[{""Id"":18431,""DisplayName"":""Ashish Gupta""}]}"
"25577","25","8055","305a5bc6-390a-4df1-a042-43984d3119ef","2014-03-15 01:47:06","","","http://twitter.com/#!/StackAnime/status/444650967779532800",""
